124 481
88 63 54
51 47 80
123 34 50
3 59 35
58 112 66
75 97 7
74 42 28
84 10 17
36 120 48
76 21 2
37 15 56
49 11 99
53 62 84
70 77 97
69 93 71
95 121 59
105 16 58
19 25 22
9 72 38
84 111 32
79 31 31
10 56 88
105 119 79
107 91 18
65 106 68
49 96 98
95 83 86
18 114 42
34 9 26
3 93 46
37 25 56
120 25 39
20 37 95
54 14 36
4 11 37
101 105 34
111 45 86
29 36 84
118 121 28
54 91 5
17 65 89
12 56 76
34 1 54
87 85 81
71 121 13
67 35 5
99 36 54
63 97 6
16 90 6
63 74 13
86 15 77
65 2 91
79 69 3
110 121 28
108 71 73
108 107 5
92 22 56
44 101 100
98 85 25
34 72 73
40 3 28
38 10 12
116 19 72
65 19 45
121 110 82
106 77 96
11 38 72
42 3 66
103 41 84
114 46 69
25 53 32
113 11 62
67 83 95
19 112 40
118 123 86
26 103 36
105 116 27
71 73 53
61 10 88
96 60 15
16 120 99
43 37 67
62 111 5
110 100 85
92 122 92
25 87 11
9 112 95
62 39 83
122 21 35
20 24 34
67 66 10
67 87 42
2 19 77
99 100 56
119 40 15
67 22 61
64 1 4
63 95 62
52 110 63
31 77 22
11 53 69
110 29 38
114 3 61
96 88 86
16 74 29
121 24 59
31 18 94
54 93 17
12 90 68
79 6 21
46 44 13
110 62 89
81 22 57
26 5 88
57 40 16
117 97 89
8 16 70
3 8 76
77 55 33
25 48 64
84 45 43
22 82 30
89 11 15
48 16 11
91 101 16
7 85 75
23 52 50
54 39 50
9 45 13
10 67 68
44 34 45
5 101 26
49 115 32
17 118 7
84 70 90
33 20 20
6 12 56
110 44 26
54 55 21
6 25 93
113 49 15
115 11 71
19 32 37
94 10 58
71 49 49
47 69 31
86 11 64
79 66 53
89 73 70
53 85 6
40 81 58
123 58 39
63 60 53
68 10 15
6 36 18
15 57 8
50 30 36
85 71 97
88 30 66
51 45 70
98 68 5
42 68 80
39 12 45
96 73 37
91 90 82
67 45 25
69 30 37
93 118 83
60 103 81
9 23 88
86 25 97
122 109 91
96 89 8
29 65 67
97 74 79
32 56 6
27 57 88
3 41 67
98 36 39
37 106 67
117 32 57
94 33 41
114 25 38
103 113 70
8 85 19
11 9 73
74 102 92
15 97 25
9 123 21
52 24 26
106 2 4
91 121 91
17 66 76
15 70 35
85 54 25
8 18 59
78 23 81
103 47 74
21 49 22
88 35 9
113 11 9
59 35 50
17 123 66
89 9 61
77 56 71
35 120 70
74 32 99
41 15 66
36 34 26
2 52 71
87 31 2
2 57 24
66 70 66
86 114 12
27 53 44
123 108 2
9 83 82
124 77 1
9 47 7
83 40 47
10 40 26
110 32 9
69 122 96
117 100 19
39 41 57
53 21 59
50 17 65
92 72 79
118 119 88
69 112 87
90 16 14
11 32 60
1 26 16
92 119 1
51 71 8
53 47 80
37 52 62
28 74 52
92 80 55
91 18 28
31 92 57
15 9 50
75 23 56
85 56 69
18 67 95
104 117 40
90 105 73
16 14 37
40 93 16
15 72 84
98 8 73
29 34 87
42 60 97
7 92 25
25 3 89
32 63 92
52 80 9
113 100 36
10 106 87
22 103 9
79 82 84
116 67 8
100 4 56
101 40 74
110 111 27
106 39 19
57 22 63
45 77 2
113 73 27
105 39 66
32 111 52
103 88 42
1 72 10
13 27 16
32 112 25
35 70 81
78 38 77
50 81 39
58 82 45
46 97 88
58 16 81
89 122 44
77 95 16
82 40 46
95 94 71
81 82 18
23 59 98
52 83 33
18 19 27
85 112 49
81 42 58
21 119 66
107 6 43
83 1 59
53 123 46
49 124 10
14 118 73
33 43 31
11 19 70
46 107 2
123 81 91
70 85 89
36 94 11
33 119 34
108 3 67
3 82 1
43 96 12
4 21 34
4 22 17
31 30 85
28 14 80
89 106 54
36 118 89
62 64 53
114 18 71
95 50 9
93 62 79
38 29 18
4 98 38
68 6 44
87 14 9
108 14 62
122 55 26
63 103 46
58 82 3
109 5 84
36 80 66
117 109 93
