136 453
29 35 4
60 76 74
10 36 26
70 7 33
91 89 72
15 63 14
51 125 8
57 4 43
85 120 65
103 32 59
136 59 35
81 129 65
117 58 28
126 7 70
112 12 26
42 82 96
106 107 22
77 10 59
8 121 31
61 65 66
105 107 78
4 78 77
24 70 74
119 100 67
53 8 67
86 89 23
18 79 39
30 124 47
16 14 25
108 134 22
78 123 11
5 117 59
69 52 11
32 19 47
114 81 27
92 63 66
99 71 35
75 49 29
85 28 71
6 49 18
134 18 11
109 133 31
25 86 84
1 2 51
107 59 70
103 129 99
71 136 39
67 69 44
68 132 16
5 9 98
1 24 56
60 68 60
64 131 12
41 23 96
73 126 13
58 83 29
61 110 59
71 55 77
94 130 45
131 85 15
5 45 38
9 106 58
127 22 92
25 77 12
30 43 71
68 2 54
92 87 45
64 13 6
18 86 41
13 96 5
114 117 84
134 112 36
37 82 50
68 88 90
107 108 70
101 33 45
72 44 21
69 67 35
23 116 68
52 128 1
124 1 73
7 54 93
119 63 13
128 90 83
64 37 75
124 54 75
112 32 96
4 36 38
2 96 96
64 31 55
66 2 21
136 100 20
101 13 62
58 14 23
61 93 5
70 127 51
94 119 16
43 33 38
10 8 10
1 43 19
9 36 59
29 123 74
42 4 7
8 113 7
49 4 30
80 60 98
83 14 83
50 24 4
53 20 3
98 129 39
80 84 46
42 55 85
85 31 93
83 96 9
49 40 7
96 61 87
40 85 47
134 59 1
8 35 74
73 59 47
37 73 39
121 126 75
110 78 47
69 58 24
82 61 69
100 131 64
25 10 37
135 111 29
115 8 61
81 114 28
55 17 35
18 33 10
95 66 75
131 8 13
47 106 57
19 23 32
6 26 76
65 78 93
68 58 51
83 7 34
120 72 67
77 128 26
20 22 77
6 30 91
93 119 66
76 40 39
122 129 47
102 106 90
5 39 64
101 26 89
136 70 85
117 6 68
46 24 39
95 100 59
8 70 18
17 113 54
4 3 97
135 121 36
76 60 7
13 109 17
20 68 30
71 123 11
35 17 6
106 134 52
114 66 89
19 8 43
119 88 8
79 105 12
121 46 4
119 52 91
10 33 10
121 34 57
93 16 71
126 24 46
79 115 52
55 11 66
136 121 9
15 28 79
53 124 40
31 42 4
85 37 62
32 123 46
13 57 59
35 50 16
134 120 77
91 126 8
127 68 11
96 98 88
25 112 29
84 77 65
35 94 58
51 77 83
63 16 85
67 5 86
44 25 20
11 119 92
27 95 69
10 26 96
36 76 32
97 3 18
27 3 89
115 42 29
62 72 91
86 117 8
50 25 10
44 27 98
29 81 56
56 12 64
122 132 88
44 135 67
103 89 75
12 82 7
101 131 86
94 122 63
134 25 40
122 121 23
110 107 30
87 38 46
23 36 22
15 107 65
20 46 99
17 24 60
103 78 43
119 107 100
71 56 45
55 34 53
38 59 79
130 122 36
73 135 97
4 103 11
60 57 67
49 88 88
26 113 90
38 47 55
59 38 50
90 95 37
67 118 74
5 114 20
33 108 48
73 9 2
55 29 64
71 44 66
66 111 84
35 60 59
87 3 69
27 88 33
50 76 86
5 30 16
24 106 39
30 105 58
83 109 11
94 8 76
49 112 67
99 77 67
49 117 2
87 123 97
50 66 14
17 89 17
25 125 55
103 16 85
44 89 21
47 111 69
135 62 51
53 85 29
42 114 49
120 97 57
126 30 78
65 4 58
129 63 55
22 108 87
40 118 35
94 125 58
70 34 34
16 77 88
129 86 65
127 99 67
124 105 34
55 109 28
74 112 67
8 9 70
29 136 38
92 102 55
79 120 51
21 127 92
95 45 47
114 82 7
24 34 28
40 14 31
39 29 49
23 36 87
11 129 49
6 31 78
88 86 2
51 127 22
97 133 76
31 1 31
15 2 85
7 44 59
23 90 35
80 16 44
52 110 79
37 40 45
71 74 56
5 106 23
133 26 58
31 117 89
3 26 78
123 87 16
135 62 36
81 125 59
52 72 97
114 36 92
60 51 93
65 14 66
90 108 49
61 99 41
98 66 4
134 81 23
40 89 51
96 8 78
50 76 16
116 44 75
81 133 58
111 51 79
27 44 54
21 77 40
109 78 41
88 47 19
118 135 34
25 14 32
17 127 81
8 24 49
57 24 83
76 40 69
4 96 45
34 75 20
10 85 56
102 16 37
40 43 70
43 28 69
93 59 68
88 93 18
121 5 7
63 113 31
61 84 2
103 76 56
105 14 65
58 61 82
48 106 50
27 31 89
21 65 52
65 29 45
106 110 98
125 31 95
101 11 93
18 81 53
76 93 34
70 92 67
55 70 34
90 10 7
45 25 37
26 48 56
60 32 51
56 63 28
69 52 82
32 104 76
122 61 59
112 28 36
9 1 62
32 56 13
95 86 23
77 100 14
48 2 50
3 133 13
95 77 41
85 57 38
62 79 21
1 86 97
80 83 46
95 14 21
23 105 26
134 2 74
125 24 54
50 83 9
94 50 2
13 9 7
119 83 53
76 63 28
35 69 45
34 92 94
52 132 51
123 20 45
107 19 68
19 75 43
108 16 51
31 70 68
13 45 96
37 65 54
53 40 75
67 34 3
110 10 100
17 93 77
13 21 4
24 72 59
55 37 98
37 90 65
25 99 74
109 1 2
112 129 59
71 126 18
1 97 52
87 90 95
67 5 52
84 126 72
119 44 65
88 82 59
110 126 33
95 84 70
127 59 67
116 44 59
98 129 92
9 66 27
82 22 28
76 134 24
128 135 3
113 33 26
13 26 50
128 103 78
111 13 36
104 118 35
57 9 6
51 123 84
5 109 88
9 16 44
68 58 6
2 118 36
106 3 73
126 85 54
106 130 24
102 40 64
120 78 83
77 130 9
128 39 25
14 56 21
53 40 38
109 57 46
63 105 25
89 129 69
58 86 73
101 18 58
70 76 21
63 96 70
7 83 41
