104 457
91 101 37
74 83 48
1 5 98
88 85 96
12 26 90
9 14 92
2 63 60
68 10 68
64 100 66
57 46 8
43 65 10
88 92 76
89 62 15
41 86 59
25 66 3
96 65 10
85 37 53
103 13 32
97 40 18
92 71 79
60 3 29
38 35 87
90 104 92
74 68 8
15 84 55
98 10 89
85 51 54
78 40 98
79 19 34
96 19 2
13 6 98
67 81 27
37 23 9
28 32 38
94 64 91
41 47 62
37 74 87
93 12 37
5 67 44
14 24 31
48 49 73
87 17 68
86 80 63
52 47 44
49 66 43
88 81 57
63 77 32
91 46 68
94 55 28
17 20 18
14 25 4
89 19 52
70 60 48
71 48 42
8 86 32
42 48 92
31 54 44
50 26 77
13 83 16
66 27 51
25 26 41
78 75 55
51 5 18
33 77 35
104 94 21
11 61 14
27 52 43
49 82 9
98 45 78
68 5 96
34 78 93
49 27 51
21 17 28
52 3 10
69 1 39
69 65 60
88 80 64
13 44 10
80 16 46
70 47 45
66 94 72
2 65 94
40 38 3
3 6 13
73 44 54
58 104 55
7 62 87
52 54 51
91 16 62
4 97 30
26 38 18
58 4 53
43 56 53
49 102 67
94 78 86
62 50 92
67 3 61
78 30 46
7 90 32
50 83 49
56 17 91
17 77 16
88 80 77
78 56 31
8 38 57
29 10 39
54 92 75
89 63 25
5 74 45
26 22 60
77 31 89
90 63 30
39 51 1
103 102 57
43 44 65
16 1 39
55 90 1
17 16 5
44 50 7
7 36 56
28 95 6
33 88 11
18 74 38
62 25 30
98 86 59
14 70 81
23 102 19
4 3 93
22 82 16
22 38 68
91 98 95
73 81 84
86 53 61
38 72 52
44 33 57
88 11 75
69 61 48
47 23 18
5 79 11
82 91 55
92 74 32
67 49 36
22 59 19
5 10 15
60 66 33
28 81 84
47 87 56
89 75 8
48 3 22
76 15 94
77 2 34
59 75 96
16 83 71
75 43 54
37 78 18
45 85 58
20 80 31
57 28 18
13 5 44
66 27 17
9 40 28
29 28 45
34 39 95
5 85 22
3 25 68
89 92 56
38 31 14
77 73 53
88 40 65
22 38 67
95 8 96
48 2 52
96 104 29
71 15 37
78 26 20
66 33 59
55 57 56
53 102 57
87 57 69
81 1 90
80 38 9
13 27 72
86 34 6
64 71 52
67 71 4
19 44 76
31 66 91
70 57 78
31 94 18
91 84 1
40 27 81
47 40 65
74 16 2
101 6 96
1 44 24
41 38 58
4 82 92
91 77 7
15 24 72
54 77 16
97 77 89
69 56 57
58 19 49
10 20 66
74 6 91
94 73 76
93 22 86
68 18 89
46 104 25
60 72 70
66 68 25
85 3 77
45 97 26
28 21 5
11 14 16
5 101 77
1 85 75
76 53 92
13 29 81
52 49 45
98 85 47
52 30 4
35 44 47
63 5 75
81 93 28
4 98 67
90 6 67
2 36 99
43 65 49
65 2 23
28 25 25
79 67 2
9 84 60
65 62 55
86 18 20
3 92 84
76 1 22
67 16 54
43 3 88
49 22 8
54 3 57
4 47 79
73 1 7
95 104 31
95 34 52
7 33 69
64 65 78
54 53 8
79 57 23
37 55 86
22 98 24
53 75 20
96 86 85
36 58 57
45 69 30
96 5 7
52 67 34
87 72 15
96 72 6
34 75 72
85 93 54
56 45 73
100 28 17
34 3 98
58 62 62
20 24 42
103 7 94
97 82 17
11 102 87
23 63 86
86 37 5
47 88 85
69 70 52
45 13 88
50 9 46
56 85 1
6 66 72
32 43 24
77 52 58
99 58 57
81 38 74
45 20 25
71 82 15
32 6 78
1 103 40
41 18 19
92 28 96
44 77 56
34 38 68
24 54 77
29 27 42
49 50 91
29 79 61
27 94 20
46 74 94
7 100 90
76 52 94
34 88 28
10 3 64
43 24 6
4 61 83
41 38 1
42 17 97
15 49 35
90 77 57
3 24 14
65 26 72
61 92 16
66 31 50
36 103 58
31 88 62
94 34 64
29 39 96
58 104 35
27 21 67
49 16 29
73 98 41
31 84 46
85 27 75
76 84 4
98 62 96
94 38 39
19 41 4
10 32 77
9 67 49
19 63 13
70 93 78
15 3 54
98 104 3
72 26 5
103 27 29
66 61 31
85 93 25
37 9 71
70 24 54
104 9 23
67 83 33
69 68 81
100 97 78
16 99 33
49 15 83
82 87 61
80 62 47
73 68 22
103 30 66
41 46 71
17 37 35
103 52 99
3 95 46
92 34 17
75 59 51
83 37 55
99 5 13
84 86 74
95 34 4
52 17 35
43 23 8
62 102 24
67 41 67
59 4 84
98 62 77
40 61 68
63 70 92
77 8 62
2 44 18
30 5 17
87 52 7
32 42 92
90 39 34
92 55 53
71 28 19
11 78 81
33 58 26
50 14 40
53 61 32
85 76 65
40 39 54
21 73 5
41 92 19
92 42 64
27 47 64
24 55 26
97 86 60
71 11 78
44 52 59
58 30 75
79 55 32
30 82 97
66 68 15
5 89 26
27 42 97
96 65 35
23 22 19
98 82 36
28 8 3
31 33 56
85 62 18
99 68 18
26 22 11
33 18 51
76 54 64
32 82 11
51 69 15
82 23 29
4 83 50
32 39 67
25 35 35
71 20 1
42 104 35
72 79 81
69 52 76
81 57 11
12 51 54
89 69 51
23 73 28
37 40 91
25 38 63
99 74 74
14 9 76
55 86 84
30 95 8
56 39 24
37 33 79
72 22 67
12 18 7
71 40 63
48 68 97
20 103 73
82 90 46
5 30 69
18 88 13
23 62 41
70 92 15
40 69 48
89 72 69
59 95 70
77 56 59
58 10 78
82 65 92
43 46 33
74 44 61
97 11 1
48 16 82
61 20 55
63 20 57
99 92 86
67 75 92
48 61 62
31 45 6
18 56 56
40 32 92
87 29 75
56 12 43
86 9 54
52 18 41
56 58 28
54 82 46
