149 486
113 93 21
19 59 70
28 121 98
107 72 36
64 70 47
100 65 50
99 46 59
146 19 75
67 15 87
30 41 4
65 115 41
113 111 65
137 91 11
75 60 75
61 133 66
145 98 69
122 2 46
77 27 22
56 92 11
82 86 34
86 58 53
15 42 71
58 25 56
8 140 31
55 47 82
45 65 62
52 34 21
96 110 35
130 141 33
2 59 57
141 57 76
20 11 69
87 32 88
84 68 56
56 25 60
3 52 4
64 2 28
144 16 44
14 148 85
28 15 70
8 35 71
37 67 75
25 88 12
57 70 72
71 104 45
127 24 21
92 128 37
15 120 98
5 114 30
5 52 18
52 90 42
123 28 95
118 90 35
143 26 23
83 92 40
52 115 44
37 105 61
56 139 86
103 92 68
104 9 76
23 147 55
149 41 76
92 8 22
62 133 33
10 106 11
89 44 72
143 142 99
19 44 3
54 105 37
49 104 37
112 15 16
62 44 77
97 100 13
9 17 60
127 88 28
109 29 76
96 82 30
63 101 83
138 19 70
44 7 96
108 5 6
52 81 55
69 36 52
56 36 92
109 142 65
134 118 65
113 141 14
89 64 54
106 44 44
115 120 6
130 147 61
83 103 12
61 123 5
122 146 43
132 85 34
134 53 93
31 121 88
8 139 19
91 51 29
121 61 72
4 51 63
47 82 96
76 70 99
118 131 7
13 112 42
118 66 45
79 123 53
100 64 29
95 123 71
79 123 71
115 42 72
120 146 21
55 56 3
81 140 81
67 41 38
130 25 75
70 91 2
133 23 13
42 146 27
149 104 19
14 141 20
139 2 54
134 70 6
25 98 6
147 100 1
105 12 49
120 14 13
67 25 74
5 32 20
32 95 16
28 139 39
56 97 51
96 50 59
115 64 82
36 60 94
93 42 84
51 89 99
58 98 60
17 114 23
66 129 46
13 35 63
58 86 15
91 68 90
106 11 5
86 79 46
23 31 98
148 22 27
40 21 34
40 43 40
148 74 46
18 83 91
56 33 35
4 65 45
24 17 33
145 56 1
111 124 56
106 55 43
75 32 58
57 94 89
38 8 35
59 89 22
62 142 39
134 34 28
67 23 1
5 64 89
34 121 25
19 132 73
32 130 99
72 139 4
102 64 61
71 145 35
110 65 48
85 124 89
139 110 80
34 145 86
93 78 46
90 148 90
95 119 95
26 145 80
44 71 65
104 19 33
71 64 82
127 72 22
97 38 18
32 66 73
2 20 8
75 50 88
107 79 80
73 148 100
26 16 78
96 145 66
13 100 39
95 78 44
12 81 57
99 105 73
25 36 25
23 35 67
9 107 67
61 139 23
133 13 69
46 24 29
77 74 17
94 100 81
19 118 34
45 44 2
11 6 36
100 2 61
19 66 91
27 125 92
33 7 25
66 13 85
9 24 37
125 60 72
63 47 41
24 65 31
13 91 61
99 32 74
42 91 94
2 101 85
24 89 86
123 116 6
