115 489
17 89 29
35 95 33
35 88 3
34 13 38
89 113 83
102 104 61
64 60 7
110 104 13
32 37 82
42 73 15
12 109 97
31 21 44
19 40 57
20 40 7
112 23 26
25 28 17
34 103 62
74 37 53
79 115 16
10 1 27
48 1 42
21 54 88
6 67 67
18 26 37
112 72 22
82 80 89
94 11 75
109 4 25
104 60 34
106 8 6
50 43 55
48 36 14
36 6 4
89 46 25
11 7 76
89 12 41
41 111 97
52 58 59
18 44 72
25 96 30
86 8 61
101 61 9
86 90 32
5 113 61
69 74 62
36 21 15
19 3 26
69 103 70
31 7 81
27 26 55
73 57 44
35 67 73
92 22 38
62 12 13
37 64 6
60 27 18
48 42 70
99 42 97
77 114 8
7 90 65
15 61 21
22 90 22
102 74 28
64 30 86
73 53 9
4 99 90
7 69 100
79 98 29
40 15 29
72 95 5
94 22 89
111 12 34
72 84 84
67 43 31
50 29 3
38 66 46
6 90 9
109 28 66
23 69 1
8 67 9
77 82 51
114 1 39
40 37 7
73 24 99
59 100 97
36 20 31
114 18 91
110 36 73
71 54 57
73 115 83
41 35 51
102 88 97
105 28 44
75 72 34
43 17 94
53 15 78
113 19 61
59 65 13
46 33 18
64 95 75
82 85 54
95 77 86
88 36 3
103 65 54
35 70 59
21 30 74
12 83 51
85 53 76
81 38 30
46 79 17
1 25 86
94 43 26
73 44 54
70 29 14
6 41 3
56 59 43
28 113 42
73 57 20
91 21 6
102 89 38
95 66 80
20 48 89
57 62 49
21 32 35
82 15 84
6 92 35
33 81 4
79 13 56
17 8 20
59 54 56
50 34 58
73 31 88
59 101 15
104 66 16
68 61 66
65 33 31
25 86 32
68 19 69
41 100 35
108 32 53
81 55 58
20 113 65
97 3 47
60 54 64
2 5 43
103 6 70
105 49 43
51 101 74
9 74 17
57 12 52
109 114 86
51 57 58
31 6 82
113 95 5
16 12 16
25 64 21
65 56 28
13 111 49
95 37 16
13 70 26
84 33 14
42 39 90
74 107 64
62 33 29
18 23 86
96 110 63
40 83 94
111 7 11
83 108 94
21 4 43
61 5 84
15 59 44
73 100 83
31 15 37
18 107 75
99 69 40
93 33 30
38 99 28
21 88 41
1 10 69
53 105 64
6 16 25
11 63 72
76 66 46
82 7 65
99 108 79
100 6 18
35 60 88
89 39 80
42 87 97
86 76 13
72 11 52
72 35 9
54 99 13
18 19 88
100 59 47
60 2 30
94 59 71
60 96 55
7 46 82
103 66 79
114 102 42
56 114 98
80 105 53
80 32 69
90 103 37
22 7 74
44 98 10
114 85 65
49 82 46
14 25 54
57 34 79
2 104 100
20 7 18
9 34 78
98 94 25
25 84 78
6 3 73
90 66 20
27 93 10
8 69 29
33 32 59
49 34 1
30 70 97
62 48 8
110 9 8
113 21 27
33 65 92
77 76 54
35 22 79
107 44 94
16 104 97
22 106 29
1 75 7
12 104 3
73 47 25
15 3 8
111 42 92
57 78 98
95 91 43
13 71 78
35 114 36
98 107 57
61 78 21
97 104 83
115 4 7
56 54 56
50 52 22
114 94 28
61 4 99
45 26 87
74 36 87
100 54 89
65 61 82
30 113 44
67 50 47
109 41 95
53 100 82
20 85 80
87 38 32
14 107 83
43 24 35
113 74 33
40 79 99
88 113 21
70 53 30
46 64 50
41 60 72
8 113 25
37 21 79
29 112 100
89 65 27
53 21 22
52 56 11
86 101 31
48 103 47
42 43 12
19 48 72
114 111 53
71 72 16
109 17 83
60 95 30
77 42 23
107 5 97
99 65 93
100 2 14
2 18 8
43 100 24
87 105 76
83 72 74
79 95 36
22 28 86
10 38 23
4 60 21
12 80 40
69 41 7
49 100 43
3 40 18
73 22 57
60 34 10
74 44 44
87 15 29
94 39 13
82 89 41
30 74 75
45 37 73
33 72 94
110 69 6
32 64 65
87 42 95
42 57 45
81 111 58
59 104 97
97 79 96
26 57 31
78 34 43
101 110 25
3 28 39
113 62 35
31 13 5
39 59 27
65 64 59
97 32 20
82 106 98
7 38 12
