102 457
14 9 66
5 87 36
66 25 33
102 1 76
45 66 27
63 61 75
77 91 39
44 78 32
31 33 18
70 40 93
66 73 51
21 54 79
69 54 79
36 49 100
65 52 3
16 92 79
42 27 16
7 11 47
46 67 99
64 55 45
95 57 43
16 20 86
95 90 76
33 12 68
57 28 98
29 72 61
91 101 27
85 97 44
94 22 94
6 22 14
66 55 33
93 15 15
91 86 20
85 30 17
84 54 22
99 33 21
41 63 42
25 46 24
98 3 63
25 90 76
100 12 61
49 47 38
29 83 56
9 53 14
91 59 25
29 96 93
86 34 95
52 19 94
47 7 85
17 43 28
36 66 53
43 28 1
7 67 68
27 58 100
37 29 34
100 30 68
66 80 84
33 22 90
84 12 38
87 64 3
81 14 77
6 92 45
70 24 84
23 17 84
49 40 3
77 44 69
71 65 99
87 89 41
11 31 46
94 99 47
31 27 67
8 98 1
3 102 98
60 9 85
13 17 66
29 15 19
31 72 84
85 51 39
11 66 12
28 8 48
88 81 56
41 97 30
79 44 39
98 79 38
5 1 66
55 97 36
91 102 4
17 95 29
75 2 68
4 82 23
38 24 30
23 26 29
23 89 76
45 27 6
6 17 32
91 54 57
98 45 68
100 49 22
15 53 16
14 22 60
41 39 38
80 42 62
47 38 48
63 72 60
94 14 69
96 43 42
77 90 31
24 39 84
44 13 98
40 93 64
40 21 57
3 64 61
9 92 57
66 42 15
56 72 31
45 36 77
95 94 21
59 92 78
54 69 41
70 23 95
18 4 77
87 2 22
37 81 65
91 56 80
21 63 17
77 96 74
63 91 14
70 88 81
43 17 79
66 10 86
63 90 67
10 60 6
27 66 48
93 13 66
20 46 25
8 55 6
43 34 95
6 99 47
12 10 16
5 39 64
89 93 84
8 28 16
76 20 97
10 33 15
39 43 6
25 5 47
49 54 25
26 25 29
16 38 55
22 57 67
24 77 38
97 76 59
34 62 83
84 47 52
102 7 89
1 100 3
16 26 40
84 56 2
5 18 85
10 84 74
18 14 5
50 83 25
16 38 23
57 8 54
66 11 8
80 7 63
22 38 58
35 77 10
95 41 93
82 59 93
37 55 21
32 101 31
32 48 34
5 33 87
54 6 96
79 68 71
11 95 5
79 35 64
83 32 80
99 12 12
38 67 84
25 15 96
64 75 22
40 48 1
45 52 15
15 32 35
58 9 89
22 30 39
29 55 17
86 68 22
40 26 98
4 37 94
34 79 18
69 67 85
30 93 81
40 71 87
95 18 6
101 49 48
67 47 60
10 6 1
54 67 79
21 73 100
33 36 47
79 34 81
7 72 80
97 58 84
15 50 84
88 85 81
43 11 92
8 72 48
41 78 90
28 47 48
55 92 13
46 23 27
48 68 99
67 97 47
13 39 27
67 47 55
38 53 5
98 89 35
69 61 5
40 61 9
99 82 29
1 82 41
76 40 23
24 95 44
70 65 13
80 47 88
38 11 25
81 80 72
46 22 89
98 88 47
16 18 39
101 56 37
40 86 70
51 16 94
39 18 36
97 52 36
66 78 28
75 90 82
2 59 46
73 49 60
40 37 42
2 50 6
86 44 8
36 63 46
38 72 17
70 47 94
5 14 40
93 52 81
47 4 86
32 39 31
94 85 44
73 10 74
42 38 36
46 7 59
56 68 65
17 91 90
89 95 50
95 64 84
4 81 98
99 96 39
15 64 79
5 27 23
50 62 39
39 64 21
77 63 59
11 56 12
75 11 40
79 1 95
77 67 38
4 91 4
87 85 56
35 96 88
95 94 75
27 64 57
21 71 3
49 82 21
51 30 68
96 52 37
24 9 97
38 12 55
90 1 86
96 13 54
24 37 6
86 68 100
18 22 41
96 78 49
87 41 27
12 76 15
18 62 95
52 36 64
76 35 14
1 70 11
95 32 77
20 64 68
50 88 55
59 2 71
37 67 45
98 69 42
34 31 6
85 38 95
34 71 69
89 56 66
85 42 74
39 62 78
20 81 40
27 81 100
61 67 90
10 97 76
84 80 22
66 64 65
45 8 22
76 57 51
19 57 83
98 72 15
13 67 60
2 63 24
18 75 1
8 78 16
97 34 56
95 55 87
50 19 44
83 5 19
98 102 79
23 13 75
93 78 68
21 19 94
100 87 38
27 10 44
46 18 12
34 21 99
70 7 10
102 53 73
2 21 17
56 97 63
23 29 46
19 84 77
55 12 89
56 67 49
44 37 39
44 25 83
88 76 82
54 20 80
21 42 36
51 23 49
29 51 64
91 97 30
71 23 80
24 46 81
80 73 34
43 60 48
55 23 75
34 7 34
100 24 98
8 51 52
94 72 31
56 40 45
33 41 54
89 58 61
100 81 97
20 39 28
11 38 18
42 54 85
55 16 40
47 65 8
74 77 47
45 18 2
93 29 30
69 27 2
80 61 23
81 49 8
79 57 100
87 19 63
28 10 26
20 82 74
17 26 33
79 81 66
75 11 95
98 7 6
55 16 26
59 66 49
47 48 63
32 16 79
62 1 38
99 71 51
99 29 63
61 14 17
21 102 72
71 41 74
50 94 36
24 76 89
58 38 56
6 48 92
83 53 2
12 36 43
19 14 69
92 49 66
72 10 89
86 75 68
95 50 91
73 89 16
9 76 64
16 34 23
79 80 47
26 36 67
11 51 59
82 57 18
1 92 99
64 3 45
23 75 96
87 38 67
52 14 54
25 13 34
36 37 56
3 10 77
27 40 5
54 49 32
42 13 20
32 35 56
74 80 47
19 2 90
21 74 99
64 13 67
89 33 12
18 78 89
98 62 39
94 3 33
63 58 98
69 51 70
95 67 93
3 10 45
22 23 38
72 16 11
36 69 13
8 5 10
24 64 68
36 79 44
56 86 6
44 96 50
60 80 58
31 51 63
18 36 87
21 56 54
47 72 94
46 52 74
46 58 5
16 67 55
38 66 93
46 24 30
9 19 50
97 65 75
8 102 23
36 5 90
43 92 23
36 83 9
40 33 93
