135 451
22 59 86
70 7 33
109 98 55
30 135 43
17 39 46
97 40 14
28 101 7
72 87 43
125 45 57
98 8 57
129 112 94
42 107 13
72 45 55
22 27 7
105 73 89
41 71 56
48 74 14
124 95 15
35 60 52
135 85 69
33 28 17
18 108 97
18 120 80
29 10 91
70 71 58
32 7 91
106 51 89
115 5 89
9 122 16
25 77 35
70 20 97
130 98 53
73 30 49
115 96 81
19 49 11
115 58 82
38 51 54
44 118 77
12 50 19
82 95 96
4 22 42
20 112 13
40 11 36
86 28 25
72 48 41
18 87 10
73 80 27
107 101 71
95 45 72
106 12 12
79 53 31
92 107 23
32 99 34
43 109 97
131 101 89
17 26 92
50 99 35
110 124 47
95 12 16
103 85 1
5 110 10
90 123 77
60 117 41
53 125 89
4 20 76
122 100 40
30 24 53
24 37 35
47 83 79
107 114 14
62 97 70
32 95 49
125 92 95
31 113 62
38 14 4
132 33 10
7 63 84
123 57 9
34 79 57
64 45 92
116 92 38
15 105 99
36 61 73
78 4 35
80 72 72
74 113 18
129 65 83
51 113 67
63 71 64
103 13 3
66 118 56
24 112 65
91 17 18
31 54 16
111 114 53
10 91 12
40 92 86
98 73 9
114 37 95
89 14 48
2 71 2
22 47 54
100 14 46
101 2 15
38 51 34
70 57 89
60 8 74
6 54 26
72 30 98
7 95 97
114 30 24
39 92 29
95 66 66
50 101 65
85 96 19
112 131 42
116 59 98
99 10 94
78 4 16
91 62 56
19 86 8
65 94 19
14 48 99
44 60 84
3 26 61
37 12 51
48 57 16
84 47 84
129 89 30
113 129 16
15 106 26
13 5 31
12 5 90
18 104 38
126 1 68
53 33 71
33 108 73
102 115 13
102 72 42
104 53 31
44 118 2
49 96 27
5 118 51
95 14 19
73 42 96
4 8 68
36 2 93
47 82 90
94 58 93
90 85 53
52 47 5
103 135 89
81 29 23
57 115 22
118 134 21
92 78 15
39 95 66
17 36 67
129 119 16
55 83 73
109 87 59
2 50 40
5 97 23
98 17 34
71 5 23
102 63 73
66 99 4
26 70 58
131 36 42
131 41 13
37 85 21
28 124 54
111 94 5
68 9 18
26 74 69
17 18 13
114 12 90
75 36 5
60 20 46
17 23 73
132 57 41
95 119 49
41 54 12
54 33 99
128 11 87
126 88 30
27 112 14
18 84 50
42 74 23
98 107 71
31 98 2
53 18 22
59 43 13
69 4 10
31 18 28
49 132 51
135 97 69
54 114 19
135 114 9
54 87 38
6 105 61
39 30 29
29 48 9
104 45 53
17 128 32
14 27 6
84 56 5
120 79 45
91 32 98
84 25 17
134 94 23
113 36 47
95 7 95
97 18 16
69 74 97
117 1 36
6 102 55
51 59 52
22 101 62
45 110 95
40 120 86
50 126 65
42 46 59
51 21 25
67 65 63
71 47 81
76 134 21
100 102 3
26 57 91
8 3 47
112 11 68
123 37 94
111 57 72
13 64 33
129 87 58
135 89 64
27 22 70
58 105 47
96 10 77
104 54 82
44 69 71
29 61 26
37 71 75
1 130 54
29 11 43
66 25 3
49 32 89
69 120 35
67 102 93
64 75 96
91 55 85
53 94 1
49 29 10
114 27 58
53 65 41
74 25 67
44 16 63
27 132 61
31 75 97
51 114 89
72 26 29
126 129 38
102 134 58
37 33 34
104 69 98
36 124 20
14 103 61
105 86 6
111 77 3
129 2 89
111 30 80
15 43 15
111 58 8
133 129 62
70 50 99
74 60 1
112 14 46
88 51 40
57 63 44
100 19 75
10 57 18
23 48 70
113 72 29
120 28 55
54 135 17
113 96 14
123 4 5
94 58 26
74 44 34
27 47 66
79 113 25
59 98 35
121 73 76
57 5 98
1 47 5
62 33 42
125 124 44
72 46 86
68 89 74
53 131 18
47 95 55
108 127 96
19 95 83
94 46 20
133 126 5
125 83 39
54 59 44
56 76 36
21 84 66
127 80 62
118 92 78
120 22 30
97 22 73
93 66 67
133 99 20
104 45 99
42 51 72
120 59 24
35 96 55
122 114 84
44 91 65
91 43 73
107 54 82
77 120 16
47 111 49
121 39 50
52 8 86
34 61 28
71 115 33
9 78 26
104 99 47
8 76 59
129 105 4
88 100 21
61 22 54
69 107 32
19 83 90
67 61 13
31 56 54
23 112 58
32 77 82
37 97 17
5 50 81
34 120 64
127 56 76
126 54 91
102 50 44
14 52 85
127 69 33
128 7 36
27 24 49
133 3 55
57 39 21
19 58 56
68 74 16
124 4 52
69 86 75
20 90 65
24 84 94
121 27 21
17 3 64
110 4 77
7 133 76
102 37 91
14 72 31
4 77 53
115 122 16
5 58 25
122 63 95
68 34 46
62 103 72
22 2 21
41 65 20
81 118 13
59 100 52
63 26 17
122 110 72
87 12 33
37 10 2
102 124 91
15 59 46
135 117 77
47 109 46
98 25 36
27 54 44
10 100 39
100 53 2
56 27 74
104 57 35
44 71 22
77 41 85
31 18 22
90 80 43
96 1 18
75 77 62
87 120 100
75 98 14
23 84 65
42 82 35
23 65 61
110 25 9
79 112 8
12 10 26
100 115 57
45 47 37
80 6 68
43 76 89
91 86 81
98 87 11
6 38 28
55 93 87
110 77 46
43 9 17
53 45 46
116 135 71
12 118 71
10 65 72
111 32 23
25 133 90
12 47 38
120 133 33
2 79 73
74 46 9
28 131 18
83 116 31
21 89 7
36 14 50
130 81 43
85 78 96
35 78 93
58 108 87
98 135 28
92 126 57
72 111 10
65 118 93
128 120 14
82 7 48
104 67 56
15 130 64
61 57 81
81 74 49
65 62 44
25 78 5
29 84 77
74 23 38
91 84 16
119 117 31
55 72 27
77 29 96
53 31 74
33 24 61
