142 480
94 23 72
84 123 38
100 20 25
12 19 60
77 37 77
87 89 88
21 77 99
22 44 69
50 122 69
3 106 97
133 79 87
20 13 17
73 136 45
97 100 46
101 114 44
34 84 57
123 11 34
29 54 12
56 118 55
133 18 94
18 79 39
111 117 70
16 86 32
13 139 83
129 134 10
5 108 81
60 90 70
100 51 16
75 122 13
142 76 26
94 99 80
90 32 76
31 66 28
42 76 11
140 112 53
55 67 42
138 84 88
8 131 76
21 31 99
2 40 34
64 43 48
53 71 20
39 16 82
130 5 37
142 28 97
20 64 98
38 126 84
48 132 89
40 105 67
95 109 93
72 130 79
114 119 8
86 22 94
34 25 68
5 13 63
2 111 80
107 60 2
116 122 30
136 140 97
6 22 27
141 82 29
12 101 87
29 108 85
126 10 79
2 103 90
24 74 66
141 119 51
111 76 36
53 58 35
16 38 66
124 136 19
118 70 70
84 57 27
70 88 96
129 119 77
58 133 96
58 42 85
4 62 50
95 87 23
62 123 82
137 75 2
44 120 85
15 3 52
16 100 18
124 58 49
17 121 46
135 92 79
128 15 38
59 112 66
49 55 14
89 124 50
132 82 100
14 42 38
92 130 82
107 129 83
34 105 87
27 56 36
77 64 24
25 104 95
116 5 11
16 32 41
55 112 34
112 134 89
127 133 57
139 119 77
24 117 9
87 28 53
109 38 97
77 136 12
131 80 15
1 117 66
34 76 28
69 95 64
62 57 5
24 29 17
35 56 2
27 123 84
117 9 79
7 85 66
102 13 2
42 17 35
53 112 19
60 52 19
43 14 24
96 53 96
76 102 19
78 53 7
109 76 91
128 22 31
55 140 96
30 65 48
33 4 21
53 4 40
13 136 3
32 34 6
45 88 87
92 86 47
140 18 11
16 125 46
9 35 44
68 72 80
41 88 47
78 70 73
52 46 55
128 1 70
25 109 37
133 132 27
44 48 78
61 38 5
41 129 57
83 113 29
97 16 8
18 142 15
102 121 74
90 80 91
8 103 60
140 96 38
18 49 97
10 115 62
26 102 15
40 85 32
24 103 68
44 71 47
76 96 50
10 42 95
84 45 10
121 91 11
99 138 98
118 61 45
92 20 37
101 12 59
10 123 52
68 124 98
137 123 8
66 45 42
67 74 65
70 20 21
116 14 57
24 106 68
102 68 44
8 76 55
