109 492
37 93 93
96 18 65
64 50 97
102 15 20
7 14 72
27 26 47
3 50 71
33 2 23
48 15 99
74 22 64
38 30 13
36 61 84
2 26 37
80 81 61
3 52 9
80 96 49
19 36 64
92 90 65
10 3 90
51 97 8
100 17 14
79 14 63
3 41 26
102 35 96
65 68 68
7 106 15
43 17 1
51 29 7
87 40 83
13 9 94
13 33 70
105 38 77
7 87 28
4 28 89
105 9 59
47 59 33
31 21 16
74 45 2
16 1 50
91 71 22
59 30 20
70 25 31
21 80 94
21 33 19
107 22 16
27 31 17
73 18 70
60 5 8
80 1 40
79 40 97
62 80 31
60 39 95
49 16 50
90 100 85
3 81 53
27 6 35
46 45 6
100 17 13
53 89 5
102 78 48
21 58 98
34 106 43
38 82 27
103 27 32
104 51 14
31 5 26
14 21 2
19 6 3
82 81 39
35 64 7
22 71 31
36 27 94
25 40 70
44 106 66
35 86 22
41 89 49
88 64 84
69 8 51
90 1 74
19 40 28
9 26 37
75 109 37
61 60 84
75 26 30
43 8 8
45 78 84
27 90 47
69 42 76
102 71 3
28 44 59
38 104 18
91 77 73
10 25 62
44 43 23
28 53 55
2 49 95
25 18 46
88 98 72
21 14 98
96 17 71
51 96 23
31 79 100
24 64 6
102 27 36
63 83 74
106 3 29
75 107 99
73 58 55
54 85 58
57 28 51
58 16 45
27 71 29
12 75 33
1 70 3
72 71 5
79 73 70
39 101 2
74 61 88
77 5 55
61 33 39
18 93 43
10 29 50
8 96 39
30 107 63
90 97 46
5 72 4
74 69 51
73 64 4
28 64 45
39 91 69
95 56 30
79 85 66
48 14 72
33 72 62
17 68 10
39 61 73
29 7 9
54 22 86
105 57 24
96 82 10
11 3 53
101 62 38
76 77 69
86 11 41
88 98 48
24 49 83
71 86 93
74 30 54
49 98 64
107 35 51
108 28 64
94 57 12
102 71 100
61 96 67
32 5 95
83 13 72
30 87 66
100 63 22
26 83 29
92 66 32
39 86 79
91 75 56
97 68 41
24 14 84
90 98 89
32 37 1
10 58 48
90 9 26
66 68 8
107 106 97
10 38 75
107 69 26
73 5 29
41 62 21
92 35 31
93 16 39
16 97 95
73 100 37
92 78 1
39 44 68
87 83 63
59 8 60
74 81 10
88 83 40
3 102 32
76 43 84
103 102 37
9 72 96
70 62 13
95 77 65
57 5 43
5 17 3
76 26 98
45 78 27
1 48 67
102 87 34
28 88 100
104 105 72
63 62 84
96 27 32
60 54 53
92 58 18
98 104 47
47 105 50
12 66 8
90 91 31
8 13 97
89 39 52
80 3 10
4 15 47
13 32 20
94 109 17
70 58 29
51 55 23
106 73 27
20 6 39
59 109 88
24 52 78
2 93 85
53 33 42
70 12 43
74 25 100
55 26 76
76 33 6
65 92 33
98 33 18
44 73 78
106 66 32
96 29 100
74 59 70
93 107 30
64 22 33
36 41 28
3 13 84
66 14 40
55 45 58
76 79 85
6 4 4
29 41 99
19 11 10
49 9 51
15 89 6
8 98 28
98 1 25
1 73 96
61 58 47
68 99 13
1 34 15
80 5 64
106 83 71
76 54 24
83 89 37
107 1 86
101 40 83
27 12 29
92 1 4
67 85 18
45 19 88
109 37 56
47 60 28
51 108 15
6 54 76
29 53 77
42 20 1
15 87 77
53 98 3
46 107 16
43 91 56
87 94 34
77 50 36
47 105 35
39 29 68
85 2 43
74 72 21
64 44 5
14 32 37
32 16 29
53 27 82
90 11 10
104 44 55
49 17 45
9 15 54
19 63 19
52 57 7
