102 450
36 52 40
35 12 26
21 3 38
53 70 47
91 33 73
35 76 38
67 10 13
14 86 26
9 41 73
5 56 76
75 97 7
69 48 46
55 37 74
69 94 40
60 31 44
4 42 39
12 1 11
31 1 71
80 94 4
58 47 94
92 46 23
84 33 85
49 28 44
36 77 64
10 26 83
73 95 57
16 47 40
29 100 2
51 2 8
7 101 71
6 36 48
46 10 76
35 9 73
94 29 21
16 80 64
85 50 95
82 91 94
71 74 64
19 37 10
91 67 38
10 2 94
22 42 5
53 17 31
17 58 68
34 76 66
14 42 89
55 57 15
76 80 33
71 28 69
25 52 90
24 96 81
26 73 27
31 66 41
69 50 90
82 92 53
88 43 66
57 26 34
51 73 22
39 79 96
20 17 9
58 62 77
38 4 71
101 58 83
71 77 32
11 97 90
20 79 96
52 61 68
9 22 31
51 20 24
77 64 29
88 19 85
74 73 63
37 86 42
43 25 43
64 26 61
88 24 47
78 48 69
87 80 96
36 87 80
52 78 22
43 15 26
23 54 96
53 74 29
70 14 48
16 101 1
27 36 94
50 43 17
4 92 68
65 11 58
22 84 81
42 17 49
91 40 20
57 3 31
14 16 12
55 70 46
15 37 31
73 67 42
25 26 31
50 31 2
31 25 65
101 72 93
83 22 64
70 3 24
73 28 68
44 64 41
93 28 87
11 7 33
85 24 40
58 96 37
32 98 59
76 26 33
93 46 95
45 55 54
30 16 43
40 22 22
16 81 4
86 1 6
93 39 74
7 72 6
2 37 84
85 10 15
45 94 18
11 24 90
77 73 63
44 83 58
3 6 3
50 37 31
40 51 30
78 24 88
31 27 25
12 16 63
53 34 31
57 34 85
50 27 13
68 34 71
90 33 20
31 32 94
23 77 70
54 28 35
56 13 56
37 62 47
38 72 38
30 20 22
22 80 68
37 95 80
97 59 100
16 77 15
66 27 26
84 73 91
69 10 73
84 35 64
85 74 17
37 83 65
70 92 23
67 94 38
43 21 21
5 53 65
61 69 99
9 95 75
77 47 27
62 2 23
82 45 69
79 63 1
12 11 78
66 48 53
26 69 98
97 4 15
8 38 37
72 41 52
44 91 29
96 5 27
86 83 29
34 89 36
12 98 11
39 27 33
46 93 11
47 94 36
10 29 12
101 2 98
21 94 47
66 70 57
15 76 82
94 63 45
70 13 22
79 54 14
56 42 68
74 20 17
61 82 14
97 47 57
82 90 80
76 25 16
86 75 38
31 16 85
102 86 47
20 64 26
46 15 78
2 29 74
89 46 51
13 65 62
16 44 61
23 47 22
19 17 76
34 91 100
3 25 26
50 29 48
26 93 27
33 1 85
53 18 26
3 98 34
52 59 58
69 57 35
15 51 38
56 16 47
26 70 16
63 72 3
19 55 62
59 14 75
88 68 14
86 29 2
67 42 70
96 94 76
67 35 40
63 66 17
6 37 10
34 96 15
49 73 72
8 35 88
67 36 32
30 7 13
20 40 41
39 45 18
94 50 65
54 26 40
19 85 71
39 88 6
17 8 61
12 20 45
64 88 94
27 42 29
30 71 29
76 34 59
67 80 60
28 51 31
9 20 11
91 26 31
61 21 16
32 78 99
16 11 22
87 98 18
16 91 94
46 29 65
91 18 45
41 90 40
41 55 82
61 62 44
5 61 7
46 33 80
52 24 77
16 96 83
62 44 98
99 98 94
99 77 71
60 15 41
23 20 4
16 101 45
44 55 5
101 21 78
8 44 46
63 50 58
56 97 96
62 31 2
47 61 63
54 31 77
20 3 99
72 58 66
35 28 65
26 84 29
8 13 54
49 42 78
44 73 40
74 16 98
83 3 86
93 40 88
82 92 46
62 101 47
6 20 54
93 23 35
80 62 30
66 12 41
23 10 61
37 55 71
63 73 27
41 39 64
5 37 40
46 95 18
88 59 3
91 83 2
30 4 86
67 49 40
24 37 28
78 12 28
102 47 62
43 61 27
17 3 97
56 96 85
40 18 32
23 100 84
58 20 63
51 38 53
80 65 40
49 48 9
42 5 82
53 72 75
86 46 66
14 75 87
23 57 6
75 1 97
63 76 51
96 46 96
64 81 35
97 35 39
11 65 18
71 35 41
32 15 14
102 92 64
86 97 18
95 32 94
22 25 6
6 66 16
40 29 41
38 96 30
4 97 32
47 49 73
98 73 2
94 67 79
35 100 66
16 73 7
14 19 43
18 26 5
93 39 90
57 61 77
58 26 97
49 72 91
6 100 50
73 92 82
32 18 32
19 67 1
26 58 92
57 58 53
17 74 88
91 96 24
16 15 70
13 60 19
66 50 30
38 82 90
10 35 68
20 84 27
15 11 11
45 51 67
58 30 80
58 42 45
85 64 73
90 20 56
33 51 5
51 17 100
16 77 22
100 102 30
55 61 56
37 8 51
75 71 15
44 8 25
23 25 52
38 23 26
20 32 91
51 53 3
100 66 85
71 98 60
9 55 19
78 27 72
8 83 56
17 81 81
90 7 81
37 88 52
88 69 37
95 5 57
7 89 51
54 3 70
14 71 47
33 78 47
38 79 74
81 70 71
82 83 53
25 38 86
92 1 8
52 46 2
18 58 18
87 41 100
37 24 8
56 45 100
59 35 57
25 8 91
51 34 12
43 74 53
66 3 20
13 5 23
34 80 79
21 55 99
57 84 23
95 39 36
36 90 50
69 23 22
46 67 2
77 13 18
37 48 95
73 72 84
5 11 51
65 69 98
62 51 11
97 49 24
9 65 41
67 74 35
86 43 98
77 8 51
27 69 27
13 39 16
97 87 19
102 19 5
48 41 27
16 94 23
9 59 100
97 79 24
25 9 13
2 7 43
15 17 34
12 90 4
44 86 5
60 45 100
95 43 42
68 93 90
101 72 29
99 56 11
95 25 91
70 41 63
58 74 98
22 64 70
54 7 16
89 67 4
8 36 78
1 54 89
1 74 67
