143 495
34 12 55
102 82 74
78 47 21
21 126 99
22 102 47
7 136 52
75 4 17
18 71 58
83 135 43
131 75 97
50 28 44
104 128 57
12 115 15
44 143 18
49 136 23
20 139 22
123 51 98
96 132 64
58 8 93
68 15 21
125 136 49
70 49 25
114 54 56
143 34 46
9 64 43
63 29 11
113 72 73
3 99 93
141 90 25
75 21 83
133 107 50
111 31 66
20 57 82
24 45 40
12 137 28
28 102 79
49 86 26
126 121 32
106 87 29
64 75 4
23 103 18
112 26 59
35 41 52
109 135 76
95 53 44
66 114 92
122 92 78
42 11 12
119 71 4
115 101 43
85 101 32
114 70 22
67 16 19
142 63 82
90 11 39
73 33 86
57 5 92
43 130 26
35 36 67
88 45 98
106 114 51
115 123 76
76 105 71
125 133 16
7 9 68
24 38 14
1 129 77
92 3 42
8 131 80
15 8 51
80 92 78
83 129 43
113 107 17
52 70 23
137 116 26
141 24 51
46 14 36
46 70 44
78 93 90
138 25 1
98 87 66
8 19 81
139 94 71
113 46 24
66 138 48
19 115 31
56 40 53
111 23 47
101 29 33
132 36 30
41 123 56
133 12 59
52 86 35
129 142 93
34 40 93
49 30 92
43 80 15
71 133 89
32 127 86
31 99 37
30 6 97
71 24 39
57 50 89
77 40 67
72 47 71
105 20 35
96 115 58
138 16 14
112 69 90
42 92 79
14 111 30
34 103 28
71 11 68
24 140 1
72 39 26
8 17 7
124 81 55
75 101 64
83 2 95
122 51 21
6 18 86
22 21 2
62 27 10
136 121 51
94 91 6
96 10 9
22 13 34
32 30 13
10 143 27
68 42 62
60 92 100
7 5 69
126 92 84
89 14 43
81 128 57
34 96 90
86 85 23
94 81 91
93 61 97
39 123 3
135 142 11
111 15 10
38 83 88
105 138 4
81 15 26
28 71 53
53 115 95
24 13 27
70 6 11
54 130 19
118 95 98
32 86 30
65 111 85
113 142 94
85 44 88
51 136 26
117 116 51
74 23 42
57 1 10
105 95 37
10 135 49
126 21 41
22 70 5
132 37 63
72 128 98
46 78 23
15 18 20
5 102 74
8 121 76
75 105 6
73 2 28
136 67 56
43 42 89
82 107 26
22 117 85
56 112 44
136 30 12
63 43 76
114 7 34
25 100 37
54 2 98
50 103 7
127 100 61
106 116 34
9 62 37
137 99 37
104 126 1
107 55 99
133 115 67
33 21 36
62 136 80
98 16 97
33 63 60
109 15 61
15 78 43
80 132 57
68 5 7
7 121 80
133 81 37
94 81 62
101 65 10
17 36 66
21 105 79
