122 460
48 2 39
62 76 76
121 91 7
3 110 19
69 113 17
59 56 46
60 73 23
97 8 80
58 68 5
31 50 71
115 47 73
71 121 41
48 88 84
116 101 40
16 63 62
48 50 48
42 68 30
10 106 80
59 91 63
122 39 90
87 22 30
2 71 54
43 30 79
18 36 68
107 60 12
111 54 32
58 110 6
87 77 91
58 93 84
119 70 62
39 113 19
114 1 40
97 108 27
93 37 71
109 82 74
3 78 11
18 117 52
23 95 23
13 22 33
5 41 50
37 54 82
93 63 74
32 81 17
5 77 70
73 13 90
92 60 74
19 77 96
8 47 45
21 2 22
20 60 2
56 12 28
106 52 85
47 117 86
116 42 65
9 6 92
42 53 49
115 2 51
97 68 89
35 2 46
24 60 28
74 1 52
59 89 74
121 28 48
94 37 68
53 114 71
82 107 56
72 108 60
88 47 45
37 59 57
91 20 51
102 24 77
60 62 92
10 21 79
40 68 31
116 62 29
51 14 84
66 43 40
9 70 80
29 84 25
28 119 23
99 29 5
110 9 79
49 15 95
100 49 59
10 82 76
84 82 74
110 23 13
32 44 52
122 89 53
69 97 3
87 96 40
85 9 51
109 51 62
17 69 26
23 67 80
113 34 72
68 60 9
4 111 63
42 3 38
108 30 12
21 37 20
78 7 45
61 21 79
7 67 31
113 44 67
1 46 10
28 9 79
116 22 45
68 76 83
62 109 52
121 101 94
27 77 71
88 119 46
54 85 44
88 70 4
75 118 94
9 32 79
72 81 9
92 14 14
40 105 20
12 64 10
109 51 34
112 89 54
45 79 20
96 71 15
81 57 51
88 23 41
104 30 52
103 41 46
78 25 38
121 76 78
64 46 19
64 10 93
14 83 65
88 46 33
114 110 24
42 29 13
1 42 21
122 117 82
27 59 18
41 51 25
52 58 29
2 120 1
88 122 46
39 22 54
119 75 52
65 26 32
11 63 86
121 75 81
105 121 36
29 39 65
4 38 55
31 47 88
99 61 9
10 4 82
7 12 44
68 121 80
6 31 42
105 102 40
21 15 57
47 71 53
45 24 75
91 96 12
99 29 79
62 86 18
102 4 55
12 21 47
95 58 79
17 79 29
56 65 80
99 14 63
20 75 64
116 68 29
23 2 25
19 97 92
27 46 60
1 19 18
4 29 95
57 17 13
79 8 47
122 67 62
119 3 26
100 38 100
74 14 73
17 32 92
64 71 61
25 80 67
53 37 49
71 96 100
59 42 71
28 108 55
5 11 58
25 62 46
98 46 83
46 69 72
59 14 94
65 25 7
62 32 4
88 109 43
90 41 98
46 8 80
108 52 11
10 29 21
77 49 59
83 105 65
31 37 5
13 39 32
25 13 54
78 13 44
108 46 52
9 51 32
116 13 65
50 66 56
111 72 79
120 51 100
106 69 57
103 40 57
32 81 30
110 42 41
45 42 72
82 120 35
35 57 45
48 122 61
69 48 85
34 11 71
19 48 91
14 102 27
121 48 62
64 96 53
90 37 73
46 70 89
14 53 8
103 51 52
100 101 20
25 32 31
38 15 14
100 32 15
116 27 70
12 102 83
92 72 65
9 73 14
100 52 20
98 116 30
40 2 99
54 18 27
42 1 47
22 67 83
40 90 86
3 40 14
43 95 63
102 36 54
46 95 24
47 112 29
60 7 70
92 94 42
17 31 71
75 14 69
4 116 70
22 2 56
62 83 49
6 70 48
78 18 99
112 58 4
84 34 74
60 67 75
33 78 29
31 68 90
65 72 63
119 78 32
114 17 18
25 60 74
122 1 83
63 70 50
12 112 1
6 74 77
100 109 90
15 114 80
43 15 61
96 89 63
67 38 49
25 37 77
100 4 64
115 109 4
91 82 16
21 55 58
44 87 55
86 58 23
39 70 64
96 3 32
115 59 30
9 106 60
94 93 3
121 85 46
105 12 62
108 114 55
25 61 24
11 5 32
6 71 11
103 37 89
76 37 42
94 23 23
12 80 12
79 95 35
78 64 79
76 111 18
19 82 5
21 77 77
80 99 52
84 32 71
105 15 53
24 84 100
54 36 34
1 47 23
24 1 74
42 77 4
100 86 87
76 33 57
48 35 18
89 28 98
118 22 4
5 34 21
95 118 22
38 4 41
82 12 72
71 73 32
47 43 4
100 54 5
84 110 4
62 93 79
31 24 18
100 118 16
64 90 92
62 98 41
33 92 11
88 19 64
41 64 93
71 39 47
19 59 11
12 108 87
26 79 58
118 46 60
69 77 4
95 36 69
106 120 27
97 3 72
116 65 8
121 98 86
90 89 67
39 65 73
79 75 24
96 93 22
64 73 16
120 28 31
33 67 71
110 90 23
48 88 20
73 85 52
108 101 33
95 29 65
6 35 15
40 93 30
82 56 68
116 103 12
39 53 58
12 29 54
23 4 87
5 121 100
46 77 70
66 96 6
75 60 29
7 61 87
91 24 22
18 16 53
82 11 65
89 41 31
91 80 39
25 45 10
62 52 18
120 97 18
40 8 66
52 118 45
102 64 95
100 86 31
8 88 32
38 109 75
32 96 58
1 22 68
46 88 62
40 3 5
92 76 89
73 50 66
61 17 78
99 92 7
5 76 56
82 41 70
70 27 77
23 85 66
45 78 21
44 3 49
70 35 26
55 68 72
61 65 1
33 41 62
121 95 29
85 82 94
45 47 60
34 32 49
109 77 2
71 12 37
83 24 97
103 7 54
97 117 2
97 102 59
82 74 80
41 92 18
112 14 2
41 101 94
25 109 11
65 26 15
121 1 97
34 85 41
30 101 55
112 4 73
19 87 58
20 116 44
72 26 83
82 32 73
47 4 99
91 120 97
99 67 62
37 14 75
116 26 20
71 18 57
6 33 43
45 43 53
109 89 92
122 118 43
25 88 41
115 87 12
59 81 23
72 7 38
25 70 20
12 44 28
30 29 49
89 29 28
3 113 11
56 99 52
98 54 75
5 77 9
32 111 64
101 27 3
118 40 72
46 23 29
121 64 18
46 33 70
55 53 14
44 36 58
91 67 30
47 76 11
87 32 89
