133 474
125 62 16
109 118 24
130 67 4
115 57 20
9 85 98
40 102 49
91 41 4
126 43 15
92 60 75
96 77 7
88 108 70
84 44 10
49 92 60
20 80 71
92 42 48
53 52 34
10 133 61
9 73 16
53 47 41
48 10 20
19 54 86
28 94 89
106 5 1
20 39 65
54 40 44
72 30 29
132 63 48
93 129 24
68 111 92
108 57 77
27 33 72
85 58 85
89 54 38
18 60 44
75 83 85
84 59 97
44 80 55
28 114 62
25 37 75
12 128 83
74 105 20
35 39 91
89 75 56
24 71 70
116 101 21
118 9 97
29 46 17
43 120 80
86 105 7
80 130 60
126 54 10
74 86 75
48 77 9
8 119 97
77 67 49
61 92 46
119 93 27
50 15 77
58 24 50
119 95 81
84 29 73
83 55 32
31 58 5
22 68 11
110 128 49
102 113 5
43 18 63
70 110 8
115 24 52
64 46 43
49 27 51
54 105 5
79 26 41
26 50 16
80 39 30
7 79 37
15 68 59
38 125 68
124 104 39
103 43 16
81 133 65
65 83 46
132 114 88
95 57 5
45 64 41
61 52 57
92 64 20
71 32 33
75 120 69
54 103 94
109 63 23
89 86 46
64 99 58
114 38 60
84 82 78
3 12 37
127 68 40
48 4 1
32 57 13
131 61 20
124 41 95
53 128 98
43 9 62
99 14 96
118 126 59
9 115 87
7 4 68
101 15 70
29 37 28
17 37 28
116 60 39
126 51 74
108 63 31
69 77 6
18 51 55
89 93 98
32 118 9
3 33 64
23 36 74
42 54 83
112 132 6
132 70 97
17 79 66
73 75 4
17 60 25
130 89 91
82 23 55
44 88 20
127 31 8
16 3 89
62 31 78
99 94 92
108 33 3
11 124 87
53 2 74
34 10 73
10 132 12
116 31 21
9 8 85
117 83 36
95 128 41
106 40 45
49 131 88
4 60 78
39 109 99
67 34 15
20 86 92
116 90 48
120 86 99
59 104 15
35 54 9
53 24 8
65 58 68
5 98 95
7 9 47
43 20 57
3 97 66
12 86 42
79 85 20
48 65 90
103 82 46
118 53 32
97 49 27
8 106 33
34 4 82
108 118 96
103 102 24
51 124 65
34 4 100
42 46 83
9 76 71
47 31 3
80 79 14
69 18 76
37 117 99
60 94 94
103 109 77
52 7 58
19 25 53
49 15 38
8 106 46
30 64 27
73 55 16
24 85 13
17 97 13
85 113 61
62 105 12
133 14 38
9 50 31
71 72 49
7 73 40
9 73 33
87 95 23
78 105 29
117 1 32
120 101 83
29 96 35
107 8 1
32 129 92
83 51 66
73 60 99
62 109 94
86 110 23
100 28 32
74 102 82
47 17 58
24 23 24
128 55 3
7 49 32
9 45 82
40 82 100
5 111 32
133 17 20
69 93 65
66 36 68
102 41 7
80 51 45
13 9 93
124 7 63
74 90 85
108 103 29
22 29 61
98 99 94
17 66 25
36 116 67
131 97 6
92 125 62
14 78 19
21 75 15
65 87 66
77 104 3
108 31 54
55 73 3
35 82 69
75 26 84
112 60 46
44 50 62
108 64 69
79 12 7
130 16 32
66 10 38
37 103 32
126 111 18
76 87 76
48 11 90
86 127 75
5 21 93
69 90 36
122 26 5
127 92 65
57 27 19
127 21 32
24 96 84
65 83 100
90 47 1
9 59 74
6 130 98
67 123 40
126 130 26
18 94 21
116 46 56
111 127 9
60 109 95
91 90 61
48 96 3
89 63 97
31 23 41
49 19 91
16 65 96
10 106 50
20 41 5
28 23 26
15 103 34
14 17 44
67 34 97
70 101 60
8 87 8
26 64 88
99 40 36
60 92 19
61 126 33
86 66 45
74 9 81
63 114 79
104 105 47
115 26 100
76 51 84
9 60 29
50 62 43
34 128 92
54 30 98
42 106 8
103 119 14
29 34 49
74 23 87
124 15 95
57 63 30
20 27 42
105 16 27
24 130 76
7 17 69
24 35 67
101 40 36
33 76 72
77 104 68
71 43 59
4 48 14
52 69 65
50 4 33
122 123 67
50 118 27
132 77 19
92 106 24
130 121 51
119 42 45
103 100 14
49 93 16
78 5 100
89 3 46
77 7 36
114 72 69
94 90 67
110 119 68
95 49 34
127 97 92
17 14 83
12 10 78
113 20 9
57 61 82
56 44 70
131 78 89
92 38 1
110 89 45
29 52 61
128 88 91
100 52 98
29 127 82
34 80 14
115 119 39
40 73 66
83 74 1
63 81 97
39 115 38
62 11 17
46 86 17
31 95 46
131 33 95
18 118 70
41 93 39
25 68 8
115 85 27
96 18 10
45 119 100
109 93 34
54 112 19
31 56 72
85 112 6
93 50 86
124 84 67
31 125 46
108 112 57
125 26 16
78 59 43
70 2 2
64 60 64
127 110 25
54 118 61
21 60 76
50 30 43
115 105 80
12 128 33
71 107 38
118 79 97
83 30 20
57 125 93
80 7 84
103 112 90
74 115 47
77 66 44
77 31 77
58 75 69
53 124 79
25 85 55
61 106 11
73 25 32
80 52 100
116 91 33
116 132 34
74 27 28
86 112 81
45 101 27
67 58 59
6 38 29
105 56 52
82 100 7
72 5 34
41 24 15
99 14 70
88 79 91
123 19 72
29 116 30
66 129 25
2 39 10
72 22 59
92 8 57
43 96 76
12 17 61
117 78 63
77 121 87
62 54 40
6 26 50
50 94 27
119 4 7
107 133 72
101 1 29
71 44 79
64 9 75
93 115 52
51 108 96
55 85 8
43 9 31
123 77 36
27 62 52
93 22 98
10 88 60
110 60 74
131 123 76
117 48 12
73 14 13
90 42 61
15 4 74
57 91 71
111 126 76
55 60 81
77 123 33
119 4 11
23 132 87
112 24 24
87 31 18
132 47 92
9 7 76
21 128 61
120 14 94
24 110 72
120 46 1
62 103 48
80 131 49
133 56 10
13 58 48
9 3 92
51 25 52
105 6 27
67 68 94
75 90 99
124 80 36
83 118 85
102 20 86
58 133 36
41 76 28
27 98 44
8 53 28
83 104 52
11 43 45
112 46 24
24 34 32
37 42 6
96 10 89
74 103 12
59 61 49
1 34 22
114 95 84
131 10 8
63 90 8
81 124 18
