113 471
34 55 26
99 89 71
109 4 30
107 95 57
54 18 61
52 17 63
19 35 95
106 100 14
55 110 22
61 52 15
99 36 64
33 93 44
110 18 80
50 63 20
64 90 7
34 62 15
16 67 41
86 90 28
18 22 58
73 20 4
20 7 95
111 36 33
63 13 58
61 35 65
112 76 65
81 91 65
19 20 93
27 71 81
52 5 75
7 35 14
108 34 75
33 81 65
18 28 73
6 97 31
89 74 25
20 5 54
68 112 75
83 108 21
22 73 91
58 90 33
103 100 36
99 14 4
28 62 43
95 72 49
24 30 24
91 102 1
70 48 42
29 84 44
15 13 12
6 31 99
43 99 48
17 53 74
75 37 49
43 3 80
7 91 3
35 41 11
57 75 16
40 54 92
13 105 45
23 60 42
99 28 36
79 88 21
49 92 45
4 39 71
108 8 12
78 40 79
29 52 37
9 83 14
97 39 30
29 52 64
28 35 15
99 26 98
61 94 77
112 63 70
47 19 72
110 67 38
29 32 99
35 112 34
5 90 35
67 49 33
31 106 58
59 48 36
20 103 52
103 64 67
19 8 81
6 91 57
99 47 13
72 4 82
85 73 63
14 81 48
105 79 94
4 100 54
2 49 86
77 33 46
46 27 6
28 88 22
25 59 87
32 105 94
30 96 36
34 14 85
99 90 87
109 14 36
70 40 41
86 16 18
4 74 19
110 1 70
68 41 22
71 7 98
56 102 41
36 110 77
51 86 67
11 84 52
21 93 27
26 75 40
105 56 69
21 75 95
61 67 69
31 100 6
53 35 41
105 27 42
42 3 24
18 17 30
104 61 90
79 56 17
91 51 6
50 14 52
1 27 65
2 70 60
78 30 5
4 97 25
79 66 85
73 78 19
27 107 81
59 100 46
42 10 41
60 85 70
78 104 94
97 68 42
110 51 25
69 91 25
32 80 9
80 22 70
10 4 96
27 46 61
14 87 35
48 6 59
17 104 95
51 34 38
24 83 86
37 36 35
32 51 67
3 94 88
101 81 34
6 15 53
39 84 47
76 104 86
4 57 77
32 45 28
15 60 36
67 53 2
8 113 86
50 93 97
75 25 9
1 78 100
33 8 27
60 32 12
53 9 91
102 99 37
79 70 36
83 21 85
54 12 59
77 103 40
69 113 80
40 50 83
77 39 55
11 34 27
52 49 51
41 12 43
56 42 87
52 71 75
9 74 7
68 103 30
108 101 25
33 28 71
28 26 8
70 38 79
45 97 18
42 30 84
54 75 92
52 110 29
6 103 7
17 109 10
111 47 46
103 56 56
22 45 83
108 95 90
113 5 60
98 57 4
34 18 3
88 106 51
103 41 40
40 98 96
22 102 82
111 85 41
70 62 31
57 67 94
23 84 76
18 21 92
21 89 99
7 110 89
111 71 35
48 14 7
43 1 33
80 100 91
13 64 70
37 22 81
38 2 62
87 109 97
47 106 14
109 84 34
87 62 3
64 28 44
26 38 73
92 41 82
103 16 68
46 28 16
25 46 64
62 34 59
8 113 48
96 50 34
68 70 76
69 78 76
90 57 69
94 54 85
62 9 29
44 74 60
87 38 32
67 77 46
31 41 29
62 72 54
93 60 76
23 69 41
92 25 69
66 22 3
33 78 43
112 72 29
39 77 77
34 33 98
15 11 64
52 12 5
56 88 39
91 101 57
14 76 81
75 86 85
25 30 83
58 6 59
7 24 96
78 11 69
105 109 32
3 97 50
15 69 37
101 63 53
93 50 35
30 49 99
109 66 87
106 81 7
81 1 29
82 77 49
57 30 7
63 8 84
70 112 97
64 111 45
68 44 58
97 65 49
64 92 59
86 38 100
2 88 95
65 92 36
41 37 33
83 91 82
10 61 11
67 43 2
105 42 67
14 47 26
43 2 81
85 7 27
48 76 83
96 63 73
53 10 11
8 90 9
36 48 21
98 102 71
102 100 55
108 71 75
75 37 60
29 39 16
59 9 84
13 40 79
106 76 44
103 38 63
14 60 95
94 85 25
42 48 49
104 9 60
32 80 31
104 42 66
112 90 67
27 97 76
74 54 66
3 85 16
76 61 35
49 88 86
21 9 31
11 80 12
63 111 4
72 28 47
25 55 97
17 42 16
17 8 41
50 36 3
93 85 72
15 72 32
79 85 74
12 91 31
74 13 50
45 13 91
62 44 56
59 102 18
46 3 33
64 102 76
26 21 85
1 58 27
112 56 41
42 3 13
7 69 83
85 25 25
81 49 41
97 24 20
29 83 30
3 87 74
30 49 88
92 5 62
112 10 47
