121 490
108 91 39
92 34 72
88 21 48
97 22 6
24 75 32
84 115 43
89 12 46
60 34 22
18 31 31
98 20 59
21 47 98
56 62 21
77 69 20
16 59 28
27 43 1
91 33 41
64 115 54
66 42 99
11 81 62
120 75 31
10 30 44
24 75 45
30 14 4
36 66 45
88 119 62
10 82 100
97 75 12
62 52 73
58 80 1
65 12 51
94 104 15
29 79 82
1 118 100
36 81 84
93 106 45
31 17 37
66 22 18
100 110 61
52 38 94
52 21 23
27 58 2
28 22 82
10 82 68
63 105 1
73 87 30
74 21 44
55 6 49
100 17 9
3 104 41
28 7 57
100 69 65
100 54 13
62 23 41
31 58 10
64 51 33
59 78 87
52 6 34
90 79 30
60 14 48
55 106 10
14 19 74
10 108 70
118 28 51
81 14 100
74 105 24
69 110 86
44 75 74
13 76 17
108 58 93
112 11 37
99 1 55
95 49 10
45 78 71
116 9 27
59 36 67
41 72 6
71 56 9
112 119 64
49 28 11
28 52 86
8 6 62
69 47 52
21 37 16
75 33 42
94 80 25
25 93 81
92 1 76
117 88 9
74 54 86
113 75 87
9 7 5
102 12 61
76 17 88
7 52 20
26 12 7
82 57 77
6 49 88
76 56 34
34 41 66
82 103 71
8 70 51
29 112 91
45 106 29
39 118 87
2 42 56
42 59 55
40 17 47
20 70 5
7 1 95
38 99 61
107 111 61
98 30 29
119 42 47
81 110 8
64 84 42
23 13 86
100 58 4
108 15 10
10 66 58
1 45 77
24 121 100
98 112 76
84 19 36
95 67 53
32 71 32
104 43 41
65 116 93
97 71 84
80 39 20
64 69 30
40 96 78
72 5 28
17 34 40
3 25 69
10 120 15
121 67 91
25 114 4
55 62 69
76 2 80
106 121 2
28 37 37
2 58 63
100 111 10
25 30 28
98 18 54
4 107 33
62 105 27
55 113 92
16 50 2
66 19 8
2 38 44
67 39 71
92 12 84
112 70 17
1 16 13
33 108 100
89 117 5
46 39 36
114 5 83
33 113 53
46 85 26
64 103 4
78 59 67
80 57 46
121 44 80
24 65 41
34 50 86
50 11 27
88 59 79
20 9 83
49 53 52
28 21 65
6 45 79
27 15 91
34 97 45
23 104 18
102 93 87
80 31 20
24 38 78
32 35 95
80 9 90
115 14 71
121 81 12
40 30 73
55 45 91
9 17 3
99 40 93
106 102 100
99 60 25
67 71 13
39 33 76
5 87 44
21 79 59
89 114 74
87 49 42
108 80 73
44 1 95
97 34 15
99 93 63
74 107 40
18 1 25
57 71 73
5 96 3
44 27 98
10 54 59
117 63 7
92 70 10
84 46 72
91 69 8
25 121 99
15 73 49
48 109 15
15 20 61
82 96 68
71 59 60
78 47 60
73 111 19
47 70 73
4 18 57
56 27 57
37 121 50
76 71 15
54 25 72
42 39 61
9 73 1
117 99 59
98 63 32
40 65 35
4 109 77
20 96 54
11 108 37
15 113 4
115 118 19
82 5 89
93 24 5
1 5 60
76 27 48
22 63 54
52 65 7
107 121 40
3 72 8
24 84 26
108 37 92
82 34 8
65 27 43
62 114 60
62 31 53
56 91 73
53 46 65
18 41 60
17 115 84
69 22 45
65 81 28
74 61 17
82 94 22
32 107 64
71 87 27
39 68 28
109 25 82
49 101 44
14 109 2
104 64 29
21 5 67
39 55 94
8 21 81
14 87 81
101 80 30
39 71 29
28 18 69
94 1 28
93 109 76
4 14 31
108 35 1
6 109 57
6 59 38
19 12 82
92 80 27
116 33 19
94 116 32
39 91 16
20 12 50
95 94 80
119 30 1
110 61 30
71 30 9
88 14 42
116 118 99
96 23 24
42 6 80
88 65 96
17 78 7
33 54 67
27 17 80
100 54 56
30 36 66
90 45 53
87 41 50
45 102 58
36 92 86
83 69 54
81 92 63
22 60 24
45 41 84
115 20 39
119 99 95
17 23 39
79 3 69
3 91 82
77 8 100
97 35 49
71 8 97
42 109 41
38 30 81
33 120 92
6 63 25
74 19 14
24 70 75
25 104 89
103 69 68
101 46 75
10 113 34
34 50 10
54 74 52
106 70 85
37 65 93
86 99 64
13 48 60
31 39 12
35 75 10
100 83 73
3 64 87
80 26 76
112 37 33
110 56 53
10 41 68
92 37 41
12 63 67
11 86 91
29 33 34
85 107 68
102 33 1
111 83 64
22 44 24
52 42 65
13 17 50
21 80 68
28 81 7
70 108 39
32 118 3
117 38 28
66 61 31
29 111 92
11 80 34
105 17 14
1 119 15
69 3 92
68 38 81
47 32 3
12 111 84
81 3 28
29 85 94
2 20 48
1 63 83
2 23 62
5 65 79
82 33 80
75 18 23
38 96 57
30 111 22
64 69 28
107 67 2
47 83 62
42 62 67
39 105 91
42 63 41
105 4 61
62 117 22
66 31 22
17 15 52
63 38 37
83 53 17
87 59 2
37 32 36
69 100 19
85 35 60
55 107 83
84 71 48
82 111 13
99 113 94
115 10 1
89 66 92
104 6 97
65 111 83
59 104 63
80 31 32
81 40 58
49 110 45
99 30 46
111 32 83
95 108 51
33 48 79
76 51 50
73 18 11
47 31 33
48 83 21
88 37 80
60 97 32
105 44 96
67 27 10
64 81 96
64 40 85
78 16 81
6 52 85
56 20 39
91 45 76
13 57 57
110 5 9
77 20 26
44 13 81
50 29 47
89 16 54
107 116 1
85 40 88
51 26 36
19 95 58
73 28 46
72 6 92
82 92 16
75 110 96
100 85 75
115 16 25
117 28 79
75 3 6
31 94 25
87 101 78
93 34 90
24 8 66
57 91 44
14 37 17
1 70 93
56 68 92
13 68 79
110 107 51
16 80 17
70 11 72
95 66 62
99 56 39
52 61 4
46 26 68
73 32 30
49 96 1
14 100 96
106 89 37
84 48 9
102 114 45
4 90 84
55 111 6
53 112 77
72 55 82
15 107 63
85 39 95
117 87 92
1 77 87
107 94 61
74 49 46
119 108 63
16 9 64
21 116 91
118 61 10
118 69 23
23 82 99
67 60 19
17 69 65
33 25 49
82 95 26
36 85 69
37 80 15
2 48 98
68 71 84
99 112 46
117 101 22
86 24 88
121 44 67
46 5 17
94 93 34
14 111 96
78 58 22
96 69 22
81 24 80
40 111 31
