141 453
129 23 44
27 126 49
139 113 95
131 11 76
128 49 88
58 57 14
28 76 81
47 38 96
54 97 48
64 134 50
15 130 36
44 58 50
22 66 93
60 76 51
12 28 1
141 14 58
137 2 82
12 15 67
8 81 98
92 48 68
65 34 79
74 56 43
140 4 26
46 106 53
114 103 60
7 25 90
21 105 21
79 125 52
123 62 93
79 11 39
115 128 43
122 3 19
8 64 4
123 74 94
71 47 64
129 57 23
81 13 24
26 37 78
21 133 12
121 80 91
104 42 87
17 138 33
134 35 59
42 126 7
72 23 97
61 99 31
71 139 12
63 56 62
127 129 74
90 121 14
74 28 70
134 62 44
8 2 42
21 90 36
71 103 76
55 38 15
120 127 40
11 91 74
118 135 69
131 58 29
35 90 42
14 115 10
12 126 18
62 12 17
13 72 6
3 118 65
47 78 28
130 25 58
19 24 57
118 40 20
88 97 14
43 34 34
112 41 46
108 113 24
54 108 29
106 55 99
86 15 58
42 123 81
89 33 58
103 1 33
35 47 76
102 23 80
58 47 29
66 26 81
114 41 70
102 91 80
20 7 75
12 135 89
108 56 29
98 125 60
104 92 37
83 9 14
65 93 82
48 41 91
106 6 71
110 125 11
36 83 78
48 2 99
47 98 95
61 54 18
57 58 65
39 79 95
70 69 86
75 25 60
139 85 93
51 43 7
80 129 80
66 17 18
67 80 15
7 111 73
45 27 15
7 91 15
130 57 1
125 81 76
112 77 75
58 50 43
125 64 23
73 139 21
104 133 97
132 62 27
107 14 29
98 89 74
132 55 95
73 14 44
115 32 9
67 34 16
93 58 60
109 39 69
90 56 8
106 2 37
79 83 21
15 121 61
34 7 9
112 121 24
57 101 8
138 67 77
83 136 44
82 43 33
58 56 72
96 10 31
134 130 24
52 55 5
95 55 61
32 63 50
134 87 71
106 67 3
66 79 50
135 136 89
2 111 19
48 41 49
7 21 26
3 57 16
42 107 99
78 23 100
83 53 14
44 25 39
36 63 85
119 70 85
85 123 17
68 126 69
82 15 42
64 78 87
133 14 57
49 75 52
43 131 46
98 13 46
96 92 37
127 6 31
122 83 56
14 32 53
95 92 77
58 12 1
66 22 41
70 110 86
8 106 51
126 28 30
7 136 83
129 92 40
120 130 21
74 47 3
109 72 51
109 18 80
64 59 69
80 49 55
45 82 29
133 78 64
126 34 91
47 26 18
66 29 57
69 6 79
106 88 66
77 6 3
31 32 34
114 38 8
97 28 75
33 136 13
13 6 8
48 32 29
135 42 12
115 113 62
95 132 95
48 40 60
99 77 82
36 67 86
25 6 24
141 56 72
6 32 90
94 101 13
24 18 80
45 95 66
33 103 2
36 108 68
17 103 88
76 123 44
1 75 34
8 32 97
79 9 20
104 120 74
107 41 70
66 90 30
106 83 67
62 35 46
133 124 21
110 35 37
123 85 23
115 140 16
22 80 30
121 116 89
31 29 19
117 118 50
71 30 19
86 109 31
104 64 43
65 46 47
58 105 79
138 113 42
88 94 17
127 31 77
61 34 95
50 116 38
16 27 88
45 32 22
3 24 61
122 106 16
3 123 40
124 51 91
60 61 14
101 26 32
87 16 88
127 41 99
11 27 79
119 127 51
98 138 16
95 92 16
100 50 63
139 61 37
34 64 72
103 9 37
36 139 23
87 110 14
42 92 7
75 107 27
19 121 6
141 22 9
43 27 3
78 120 97
137 28 69
44 140 90
85 75 14
50 15 89
59 102 24
69 25 4
51 31 82
118 49 14
94 105 98
46 90 43
110 59 65
36 42 67
134 125 89
23 10 66
98 17 89
84 132 78
40 9 78
45 47 5
102 46 66
74 13 60
95 88 27
7 44 64
84 35 2
7 114 7
124 35 87
95 121 42
136 72 91
46 120 61
42 128 82
6 80 87
31 16 51
82 84 42
111 84 28
65 130 8
79 47 89
95 14 64
51 3 63
117 76 60
35 119 89
120 30 2
71 129 62
140 26 32
64 138 3
53 18 77
9 33 42
37 32 55
33 51 11
58 141 38
27 3 45
45 65 31
59 90 26
42 33 18
69 92 70
98 95 22
25 36 70
74 70 50
31 56 68
126 116 80
74 17 34
141 59 11
107 112 14
36 133 72
11 31 16
117 36 58
86 107 22
16 119 11
81 54 21
129 59 19
117 140 44
79 141 95
59 17 46
77 92 75
114 19 39
133 5 7
27 48 47
33 109 68
16 71 73
28 45 39
36 35 17
47 115 14
39 124 91
121 124 97
11 2 59
119 56 64
119 122 9
41 141 29
90 141 63
135 87 60
136 109 47
68 107 76
61 89 84
51 14 80
42 113 9
45 44 37
6 31 58
100 60 37
137 8 61
47 125 22
78 112 50
112 123 71
27 131 45
48 125 27
20 89 86
70 54 53
12 93 52
94 133 32
25 96 60
123 133 89
26 52 21
121 117 71
64 78 94
111 70 78
14 2 74
126 19 96
12 69 72
67 64 31
12 72 6
58 38 29
128 36 52
28 73 68
59 133 89
2 3 92
79 62 57
140 114 38
123 125 94
6 42 39
108 67 25
14 116 54
36 34 15
22 129 43
78 32 20
61 97 47
139 132 7
88 121 24
1 14 27
78 133 99
135 51 86
104 124 47
94 64 8
103 37 45
128 120 19
121 107 7
88 78 98
11 49 3
102 82 66
12 23 90
68 37 73
55 129 46
5 77 5
58 117 42
52 23 13
81 28 87
112 55 11
43 66 7
112 84 56
31 123 74
77 103 23
9 81 12
53 140 4
37 42 38
28 8 78
54 86 85
87 114 38
53 121 18
125 132 98
37 126 37
52 8 20
51 27 79
100 96 74
109 60 97
35 34 28
135 68 26
10 87 85
2 134 13
126 16 48
8 44 68
55 119 14
61 77 22
52 85 86
18 12 13
47 22 13
119 48 26
73 32 11
54 139 86
1 37 9
79 96 26
78 77 44
