135 491
129 15 31
37 105 67
68 124 49
68 134 90
9 130 29
90 105 75
115 19 2
128 134 37
70 118 4
17 23 56
73 86 90
31 8 92
94 40 8
112 13 98
128 106 60
67 61 54
78 10 98
60 14 94
59 29 97
113 49 90
56 99 51
37 43 87
62 109 77
66 14 19
55 44 72
8 106 24
68 124 53
98 28 22
49 70 68
94 56 82
86 93 11
128 30 42
85 71 42
14 101 27
7 113 27
84 2 8
84 71 89
54 97 52
26 54 37
99 132 5
9 7 56
126 55 96
32 35 45
127 27 49
46 50 5
8 48 69
34 14 73
16 30 99
117 84 53
21 132 20
135 18 10
98 103 20
87 85 90
76 7 49
80 3 100
37 55 83
112 102 44
42 8 24
14 5 27
88 121 8
42 91 58
64 40 14
47 35 62
35 112 89
127 15 79
97 129 99
117 85 4
50 106 65
74 30 21
74 134 96
122 1 89
18 41 20
104 109 1
27 74 99
115 134 53
14 70 11
25 105 78
90 21 75
82 55 45
126 51 98
103 106 78
96 126 91
102 115 51
94 55 14
113 54 1
74 81 58
61 63 72
14 55 18
112 134 94
67 128 61
30 89 19
11 52 68
19 135 27
44 38 52
135 96 49
6 51 39
75 100 82
26 127 82
123 115 62
68 7 6
72 49 99
43 135 54
10 37 36
67 32 74
58 50 75
19 5 29
100 53 6
133 74 100
119 103 48
119 111 61
130 124 77
24 53 6
49 104 9
120 31 62
89 37 41
73 47 91
85 10 11
85 81 62
61 120 84
118 105 18
85 74 50
79 81 83
31 98 63
38 105 5
114 27 4
27 45 12
34 94 18
35 107 71
46 108 29
85 29 11
28 18 46
25 86 59
107 51 23
121 118 39
15 24 92
11 2 66
25 37 41
120 130 72
28 81 89
6 90 97
80 26 95
91 36 13
125 96 50
92 88 93
46 29 42
10 17 35
65 116 70
131 4 11
134 46 43
68 127 15
63 21 80
100 36 92
36 53 63
132 134 1
28 11 20
89 107 86
51 25 65
23 34 99
35 50 71
95 100 59
17 82 30
133 72 12
11 108 84
42 123 43
30 66 7
40 135 24
71 7 65
14 96 97
25 103 93
24 103 68
7 29 16
103 131 64
12 35 49
79 22 1
94 87 3
93 126 77
59 31 48
35 52 84
101 42 82
33 60 33
46 68 94
55 27 19
77 98 73
45 12 69
119 90 67
87 37 100
43 12 66
14 129 27
38 108 89
52 64 80
61 6 15
75 46 59
57 115 26
71 53 50
11 74 76
118 62 9
22 68 66
90 70 22
13 41 92
34 90 10
19 57 42
119 72 36
63 104 45
49 121 28
66 45 19
121 70 68
16 49 5
51 74 59
15 14 13
75 122 35
33 34 2
76 92 61
1 42 100
77 133 49
81 77 62
94 75 1
64 31 2
75 88 78
77 34 43
48 115 81
76 3 96
69 76 35
92 17 4
10 119 45
101 64 51
128 24 71
31 71 39
22 40 75
125 118 54
93 117 85
4 132 61
6 99 27
30 68 1
106 133 59
47 74 58
128 133 89
56 43 19
2 122 5
46 50 13
64 1 81
44 31 90
94 77 32
25 73 45
113 116 12
94 47 37
25 41 80
59 65 22
129 28 13
99 13 33
13 90 68
52 93 92
83 25 35
49 83 18
67 112 9
133 109 27
18 33 83
111 88 50
53 131 38
94 66 18
35 21 95
8 135 58
29 75 69
68 131 96
130 57 78
101 76 51
36 97 49
109 103 10
128 115 35
112 7 84
108 72 63
21 48 56
7 89 6
106 70 100
92 21 85
41 60 58
124 29 35
61 87 96
118 128 74
8 91 20
27 135 77
97 120 26
37 52 43
108 99 40
2 40 41
82 112 80
21 118 92
119 63 7
31 84 61
119 63 16
128 91 54
67 23 65
38 14 39
95 76 49
52 126 79
120 108 66
31 64 97
91 65 80
65 87 83
89 56 94
49 33 25
96 92 7
95 31 10
71 85 75
14 41 1
82 116 36
55 109 37
77 119 75
40 71 35
97 57 77
122 126 100
104 37 2
106 121 47
83 7 97
75 57 21
67 107 32
120 97 43
127 11 66
93 108 92
47 133 78
120 110 3
99 14 19
85 104 72
115 66 38
18 98 36
1 24 44
17 15 85
102 135 45
134 112 56
97 1 19
133 73 40
1 127 11
59 56 42
120 52 21
59 23 94
11 43 9
17 134 32
103 100 1
123 100 76
127 71 94
1 72 71
88 36 28
120 66 68
66 112 20
7 52 36
108 53 49
87 116 43
9 72 25
73 98 5
53 37 72
16 58 55
3 26 69
135 88 70
95 13 58
36 118 43
81 102 57
28 46 50
121 61 79
37 88 72
37 16 65
84 9 92
5 79 37
127 86 77
25 102 6
54 107 89
37 112 56
108 12 6
55 103 95
5 64 12
130 13 72
126 17 38
98 21 90
97 69 46
133 18 85
35 84 95
102 106 66
40 28 58
120 135 36
54 128 13
124 106 96
133 64 48
12 56 4
59 88 97
126 1 71
114 95 29
98 94 52
117 130 97
109 1 31
36 121 66
10 62 90
59 85 55
65 93 70
116 65 26
26 44 72
107 109 31
132 71 96
11 31 20
109 12 100
119 42 26
116 41 46
112 65 71
79 39 69
24 53 88
55 84 81
20 12 2
135 35 22
10 98 17
75 72 3
86 52 95
37 66 33
92 57 98
123 118 92
73 54 77
17 52 68
91 20 33
59 71 7
7 108 51
15 35 80
100 129 20
14 79 47
125 41 84
116 129 28
7 83 79
29 43 46
44 62 81
63 19 13
14 12 11
21 98 66
115 53 15
13 47 34
118 85 9
118 12 43
56 54 46
78 63 39
12 51 50
25 111 62
51 36 71
91 126 42
56 2 35
95 70 55
9 38 87
49 76 19
118 56 94
9 125 73
32 82 20
92 84 42
4 39 25
125 15 71
49 81 93
27 69 41
100 108 36
91 95 22
128 89 13
34 78 29
62 107 46
53 90 26
96 50 55
42 131 39
50 78 37
41 117 61
103 11 19
41 131 5
69 81 4
103 75 31
47 113 42
30 13 54
59 119 32
106 61 78
70 35 16
131 65 84
25 13 29
6 109 47
95 60 72
86 22 20
27 84 43
89 20 23
15 129 96
13 114 55
37 12 24
11 92 54
103 20 63
106 3 59
121 104 63
55 72 27
84 43 28
20 102 23
46 110 33
16 80 83
69 44 71
24 32 98
75 67 92
53 57 1
